timestamp_utc,ticker,price_close,next_price_close,return_1h_pct,market_direction,sentiment_score,sentiment_direction,is_match
2026-03-25T13:30:00Z,AAPL,252.86,254.245,0.5477,1.0,0.761,1.0,1.0
2026-03-25T14:30:00Z,AAPL,254.245,253.925,-0.1259,-1.0,-0.516,-1.0,1.0
2026-03-25T15:30:00Z,AAPL,253.925,254.145,0.0866,1.0,-0.058,0.0,0.0
2026-03-25T16:30:00Z,AAPL,254.145,253.96,-0.0728,-1.0,-0.916,-1.0,1.0
2026-03-25T17:30:00Z,AAPL,253.96,252.625,-0.5257,-1.0,-0.114,-1.0,1.0
2026-03-25T18:30:00Z,AAPL,252.625,252.57,-0.0218,0.0,-0.684,-1.0,0.0
2026-03-25T19:30:00Z,AAPL,252.57,255.91,1.3224,1.0,0.905,1.0,1.0
2026-03-26T13:30:00Z,AAPL,255.91,255.68,-0.0899,-1.0,0.527,1.0,0.0
2026-03-26T14:30:00Z,AAPL,255.68,256.1,0.1643,1.0,-0.671,-1.0,0.0
2026-03-26T15:30:00Z,AAPL,256.1,254.99,-0.4334,-1.0,-0.304,-1.0,1.0
2026-03-26T16:30:00Z,AAPL,254.99,253.825,-0.4569,-1.0,0.777,1.0,0.0
2026-03-26T17:30:00Z,AAPL,253.825,253.67,-0.0611,-1.0,-0.897,-1.0,1.0
2026-03-26T18:30:00Z,AAPL,253.67,252.88,-0.3114,-1.0,-0.6,-1.0,1.0
2026-03-26T19:30:00Z,AAPL,252.88,254.48,0.6327,1.0,-0.167,-1.0,0.0
2026-03-27T13:30:00Z,AAPL,254.48,252.62,-0.7309,-1.0,-0.138,-1.0,1.0
2026-03-27T14:30:00Z,AAPL,252.62,251.78,-0.3325,-1.0,-0.337,-1.0,1.0
2026-03-27T15:30:00Z,AAPL,251.78,250.41,-0.5441,-1.0,-0.422,-1.0,1.0
2026-03-27T16:30:00Z,AAPL,250.41,249.385,-0.4093,-1.0,-0.056,0.0,0.0
2026-03-27T17:30:00Z,AAPL,249.385,248.4099,-0.391,-1.0,-0.525,-1.0,1.0
2026-03-27T18:30:00Z,AAPL,248.4099,248.62,0.0846,1.0,0.859,1.0,1.0
2026-03-27T19:30:00Z,AAPL,248.62,247.83,-0.3178,-1.0,0.109,1.0,0.0
2026-03-30T13:30:00Z,AAPL,247.83,246.53,-0.5246,-1.0,-0.081,0.0,0.0
2026-03-30T14:30:00Z,AAPL,246.53,246.02,-0.2069,-1.0,-0.216,-1.0,1.0
2026-03-30T15:30:00Z,AAPL,246.02,246.25,0.0935,1.0,0.319,1.0,1.0
2026-03-30T16:30:00Z,AAPL,246.25,246.4802,0.0935,1.0,-0.285,-1.0,0.0
2026-03-30T17:30:00Z,AAPL,246.4802,245.89,-0.2394,-1.0,-0.122,-1.0,1.0
2026-03-30T18:30:00Z,AAPL,245.89,246.54,0.2643,1.0,0.769,1.0,1.0
2026-03-30T19:30:00Z,AAPL,246.54,248.9401,0.9735,1.0,-0.922,-1.0,0.0
2026-03-31T13:30:00Z,AAPL,248.9401,248.43,-0.2049,-1.0,0.25,1.0,0.0
2026-03-31T14:30:00Z,AAPL,248.43,250.34,0.7688,1.0,-0.898,-1.0,0.0
2026-03-31T15:30:00Z,AAPL,250.34,253.225,1.1524,1.0,0.854,1.0,1.0
2026-03-31T16:30:00Z,AAPL,253.225,253.13,-0.0375,-1.0,-0.638,-1.0,1.0
2026-03-31T17:30:00Z,AAPL,253.13,253.67,0.2133,1.0,0.291,1.0,1.0
2026-03-31T18:30:00Z,AAPL,253.67,253.79,0.0473,1.0,0.321,1.0,1.0
2026-03-31T19:30:00Z,AAPL,253.79,254.1201,0.1301,1.0,-0.877,-1.0,0.0
2026-04-01T13:30:00Z,AAPL,254.1201,254.15,0.0118,0.0,0.397,1.0,0.0
2026-04-01T14:30:00Z,AAPL,254.15,254.4301,0.1102,1.0,0.634,1.0,1.0
2026-04-01T15:30:00Z,AAPL,254.4301,255.1422,0.2799,1.0,0.453,1.0,1.0
2026-04-01T16:30:00Z,AAPL,255.1422,254.31,-0.3262,-1.0,0.002,0.0,0.0
2026-04-01T17:30:00Z,AAPL,254.31,255.655,0.5289,1.0,-0.81,-1.0,0.0
2026-04-01T18:30:00Z,AAPL,255.655,255.69,0.0137,0.0,0.108,1.0,0.0
2026-04-01T19:30:00Z,AAPL,255.69,252.125,-1.3943,-1.0,0.059,0.0,0.0
2026-04-02T13:30:00Z,AAPL,252.125,255.12,1.1879,1.0,0.42,1.0,1.0
2026-04-02T14:30:00Z,AAPL,255.12,254.11,-0.3959,-1.0,-0.697,-1.0,1.0
2026-04-02T15:30:00Z,AAPL,254.11,255.335,0.4821,1.0,-0.809,-1.0,0.0
2026-04-02T16:30:00Z,AAPL,255.335,255.145,-0.0744,-1.0,-0.297,-1.0,1.0
2026-04-02T17:30:00Z,AAPL,255.145,255.12,-0.0098,0.0,-0.044,0.0,1.0
2026-04-02T18:30:00Z,AAPL,255.12,255.89,0.3018,1.0,0.1,0.0,0.0
2026-04-02T19:30:00Z,AAPL,255.89,255.92,0.0117,0.0,-0.876,-1.0,0.0
2026-04-02T20:00:00Z,AAPL,255.92,,,,,,
